1377195353376616452,2021-03-31 09:45:33,practiceupdate,"Philadelphia, PA",Bacterial Superinfections Among Persons With Coronavirus Disease 2019 https://t.co/faFEITgvLs #covid19 #coronavirus,Sympathy and Support
1377195366832046082,2021-03-31 09:45:37,ACP_Vermont,"Vermont, USA",RT @nichtaufrezept: A burning question answered by @RitaRubin: How well do the #COVID19 #vaccines developed so far protect against these no…,Sympathy and Support
1377195367813500928,2021-03-31 09:45:37,RajuGentleman4,,"RT @EU_Partnerships: ""The #COVID19 pandemic has shown us the importance of migration for sustainable development, &amp; the value of migrants t…",Sympathy and Support
1377195373207425026,2021-03-31 09:45:38,IndiaToday18,DAMMAM ,"RT @samirsaran: #London records no #COVID19 deaths for first time in a month 

⁦@PMOIndia⁩ - please see the benefits of aggressive vaccinat…",Sympathy and Support
1377195391494463492,2021-03-31 09:45:43,DjSanjayrai,,RT @TheDailyPioneer: The Delhi Disaster Management Authority (DDMA) will conduct random COVID-19 test of passengers coming from states wher…,Sympathy and Support
1377195392060755968,2021-03-31 09:45:43,CathyGoodwin159,,"RT @TigressEllie: England 30th March  

Child Hospitalisations(Covid) rise to 5,414 a rise of 13 children admitted overnight

0-5      2737…",Sympathy and Support
1377195398553497603,2021-03-31 09:45:44,ashishp87145092,,"RT @DrGauravGarg4: The second #COVID19 wave in India is much worse than the first. Its slope is way steeper than the first wave. 
Some very…",Sympathy and Support
1377195412377993219,2021-03-31 09:45:48,dailypakistangl,"Lahore, Pakistan","#COVID19 – First shipment of 60,000 single-dose #CanSino vaccine arrives in #Pakistan https://t.co/TXwoXuG840 https://t.co/dHFUjHtvCV",Sympathy and Support
1377195417578967045,2021-03-31 09:45:49,eloquent37,,RT @NKUMEH: Femi Fani-Kayode former Minister for Aviation and PDP chieftain reportedly took a jab of the Oxford/AstraZeneca COVID19 vaccine…,Sympathy and Support
1377195420133306368,2021-03-31 09:45:49,TechnologyMaf,"Fort Lauderdale, FL","RT @DrTedros: The team visited several labs in Wuhan, #China and considered whether the #COVID19 virus entered the human population via a l…",Sympathy and Support
1377199396715134979,2021-03-31 10:01:37,meaapni,"Mid & East Antrim, N Ireland",@DannyDonnelly1 Big thanks Danny for supporting our efforts to keep older people across @mea_bc well fed during… https://t.co/AxeBRdWtJA,Sympathy and Support
1377199401228234752,2021-03-31 10:01:39,ECCHRBerlin,Berlin,RT @Voe_Blog: The effects created by #ClimateChange and the #COVID19 pandemic call for a 'new' human right to #RenewableEnergy to ensure sy…,Sympathy and Support
1377199427291656192,2021-03-31 10:01:45,NWRF2012,North Wales,"RT @TrafficWalesN: Please drive carefully to our beauty spots, mountains and lakes🏞️🗻 and avoid busy times whenever possible so that social…",Sympathy and Support
1377199712743387144,2021-03-31 10:02:53,Gikony0o,,RT @MohMuigai: The Kiambaa MP paul Koinange is dead! He died of covid19 in Nairobi hospital! He he will be transfered to Lee funeral home i…,Sympathy and Support
1377199721115222018,2021-03-31 10:02:55,sovietarmyfan,,"RT @unian_en: #Ukraine reports 237 new #COVID19 cases in #armedforces as of March 31
https://t.co/oRdwaB4tbp https://t.co/6k9Y1pOH7f",Sympathy and Support
1377199738672537602,2021-03-31 10:02:59,yulemtaalam,Kenya,RT @johnnjenga: Kenyan billionaires import and are photographed receiving Sputnik V vaccines. Poor desperate Kenyans watch silently. They c…,Sympathy and Support
1377199748009037828,2021-03-31 10:03:01,oak9,Canada,RT @DrEricDing: Alarming #P1–The more contagious #P1 🇧🇷 variant is a runaway train in British Columbia🇨🇦: +100 new P1 cases in single day!…,Sympathy and Support
1377199753419763713,2021-03-31 10:03:03,NaderRawahy,Sultanate of Oman -Muscat,"RT @EY_GovtPublic: In the wake of the #COVID19 pandemic, #governments will need to do more with less. Is now the time for #DataAnalytics to…",Sympathy and Support
1377199754497552385,2021-03-31 10:03:03,ntmd8rndvst8r,"Denton, TX","RT @hcphtx: As of today March 30 (4:30pm), there are 376,154
 confirmed cases of #COVID19 in Houston/Harris County and 3,661 deaths. A tota…",Sympathy and Support
1377199762848505859,2021-03-31 10:03:05,UKCICstudy,United Kingdom,📰 A recent study by #UKCIC &amp; @pitchstudy showed a single dose of the Pfizer/BioNTech #COVID19 #vaccine provides str… https://t.co/o0gZKLpAFa,Sympathy and Support
1377199766728282112,2021-03-31 10:03:06,ReBUILDRPC,International,"RT @MaintainsProg: Our recommendations on the social protection response to #COVID19 in Sierra Leone include;
🔒 developing a risk financing…",Sympathy and Support
1377199768003284995,2021-03-31 10:03:06,AngeloFactsOnly,,"RT @guypbenson: Unbelievably dishonest. Buried in this story is a CDC statistician saying FL’s excess deaths don’t “stand out,”based on dat…",Sympathy and Support
1377199769148399619,2021-03-31 10:03:06,juniorlopez17,"San Salvador, El Salvador",#Congress #hits #snag #negotiating $900B COVID-19 #relief #bill https://t.co/2gYIu3814l #900b #coronavirus #covid #covid19 #news,Sympathy and Support
1377199771421532161,2021-03-31 10:03:07,skullohmania,🚽,"RT @earthshakerph: ACTIVE CASES IN PH SURPASS 130,000

The surge in #COVID19 cases continue in the Philippines. Today, the country surpasse…",Sympathy and Support
1377199773304942602,2021-03-31 10:03:07,Samie87695857,,RT @johnnjenga: Kenyan billionaires import and are photographed receiving Sputnik V vaccines. Poor desperate Kenyans watch silently. They c…,Sympathy and Support
1377200122543665153,2021-03-31 10:04:31,ChandiaJamil,Liaqut Pur Pakistan,"RT @ChandiaJamil: #کرونا_سے_نجات_صرف_احتیاط

Punjab announces ‘effective’ lockdown in districts with 12% Covid positivity rate
@ChandiaJami…",Sympathy and Support
1377200126624681985,2021-03-31 10:04:31,UNFPAAfg,"Kabul, Afghanistan","In response to #humanitarian emergency in the Western Region of #Afghanistan, @UNFPA supports Basic Health Center t… https://t.co/rQ92mAgnHr",Sympathy and Support
1377200135130787842,2021-03-31 10:04:34,MikeSLocke,"London, England","RT @VolCentre_KandC: Due to #COVID19, the needs of #volunteers &amp; organisations have changed. We'd like to provide training for volunteering…",Sympathy and Support
1377200140583370756,2021-03-31 10:04:35,aggichristiane,Berlin and elsewhere,The EMA has approved BioNTech's Marburg facility to develop mRNA for their #CoVid19 vaccines.,Sympathy and Support
1377200169809285120,2021-03-31 10:04:42,Imperial_PCPH,"London, England",RT @Jonny_M_Clarke: #DigitalHealth was vital in the #COVID19 pandemic and will continue to be. w/ @viknesh_s @MarkarSheraz  @Imperial_IGHI…,Sympathy and Support
1377200213132185603,2021-03-31 10:04:52,NYvanCee,"Nairobi, Kenya",RT @johnnjenga: Kenyan billionaires import and are photographed receiving Sputnik V vaccines. Poor desperate Kenyans watch silently. They c…,Sympathy and Support
1377200222070136838,2021-03-31 10:04:54,swallow224,Somewhere in the earth🌎,RT @Voe_Blog: The effects created by #ClimateChange and the #COVID19 pandemic call for a 'new' human right to #RenewableEnergy to ensure sy…,Sympathy and Support
1377200223575887875,2021-03-31 10:04:55,davidgregory22,"Regina, Saskatchewan","RT @picardonhealth: British Columbia waited too long to respond to the rising third wave of #COVID19, by @garymasonglobe  https://t.co/kVZG…",Sympathy and Support
1377200225434001408,2021-03-31 10:04:55,zyrrish,"Nice, France","Malaysia update; 
New death: 7
Total #COVID19 Deaths : 1272

New cases : 1482
Total cases: 345,500

Cases Recovered… https://t.co/WlV4W01V2O",Sympathy and Support
1377200225673175043,2021-03-31 10:04:55,JohnLikinyo,,"RT @sketts1: @peterrowen_ @ClickityBang Adverse vaccine reactions and deaths...

https://t.co/SFQ13Ss2IY

https://t.co/zT1PHdW7HD

https://…",Sympathy and Support
1377200227707392006,2021-03-31 10:04:56,BiwoTitus,kenya,RT @johnnjenga: Kenyan billionaires import and are photographed receiving Sputnik V vaccines. Poor desperate Kenyans watch silently. They c…,Sympathy and Support
1377200232333737985,2021-03-31 10:04:57,republicjournal,"Victoria Island, Nigeria","According to @nigerianstat, unemployment in Nigeria rose from 27.1% in the second quarter of 2020 to 33.3% in the f… https://t.co/6LWeYVdu4h",Sympathy and Support
1377200256811696129,2021-03-31 10:05:03,peoplesvaccine,,RT @Afri_Alliance: This is important! Epidemiologists from 28+ countries are warning all of us that unless we ramp up #COVID19 vaccinations…,Sympathy and Support
1377200260993314823,2021-03-31 10:05:04,earthshakerph,Republic of the Philippines,"ACTIVE CASES IN PH SURPASS 130,000⚠️

The surge in #COVID19 cases continues in the Philippines. Today, the country… https://t.co/3emgVLS2Lp",Sympathy and Support
1377200261802917893,2021-03-31 10:05:04,BrunoTheBridge,EU/world,@DanielEssential Your graphic is blocked on March 1st &amp; we are March 31st.....Florida cases are increasing unfortun… https://t.co/Lms0WFC5Qm,Sympathy and Support
1377200263044415490,2021-03-31 10:05:04,GMDeSousa,"Glasgow, Scotland",RT @UKCICstudy: 📰 A recent study by #UKCIC &amp; @pitchstudy showed a single dose of the Pfizer/BioNTech #COVID19 #vaccine provides strong T ce…,Sympathy and Support
1377200263023316993,2021-03-31 10:05:04,ThetHta39520676,,"Nyaungdon Tsp, Ayeyarwady Division: Township council committee recruited from SAC Junta, seized the cooking oil car… https://t.co/4VCQrqc8sY",Sympathy and Support
1377200264978051074,2021-03-31 10:05:04,akagillbates,,"Coronavirs Latest Updates
Total cases: 128,905,910 
Recovered: 104,008,438
Deaths: 2,818,445

Source:… https://t.co/reDFUAKHON",Sympathy and Support
1377200265523126272,2021-03-31 10:05:05,ShanghaiEye,"上海, 中华人民共和国","The total number of people vaccinated in Shanghai since March reached 2,458,000, of which more than 40,000 people c… https://t.co/KSoLij7Tbv",Sympathy and Support
1377200274461233155,2021-03-31 10:05:07,ThetHta39520676,,"RT @ThetHta39520676: Nyaungdon Tsp, Ayeyarwady Division: Township council committee recruited from SAC Junta, seized the cooking oil carton…",Sympathy and Support
1377200279230279687,2021-03-31 10:05:08,WBG_Cities,"Washington, D.C. & Global","How can cities rebuild after #COVID19 to ensure a resilient, equitable, inclusive future for all? Leaders from… https://t.co/TTAutv83qQ",Sympathy and Support
1377203119537287168,2021-03-31 10:16:25,Nola_Mya_Thein,,"#Nyaungdon Tsp, Ayeyarwady Division: Township council committee recruited from SAC Junta, seized the cooking oil ca… https://t.co/dhC9bbzaLT",Sympathy and Support
