tweet_id,tweet_time,tweet_author,tweet_author_id,tweet_language,tweet_lon,tweet_lat,tweet_text,tweet_url,label
591903085670215681',Sat Apr 25 09:54:27 +0000 2015,Faali19,2387302745,en,73.547794,32.392816,"Dua's for all those affected by the earthquakes in India,Nepal &amp; Bhutan. Stay safe &amp; help others in any form. #Equake http://t.co/M6YG0k4FKh",https://twitter.com/Faali19/status/591903085670215681,Sympathy and emotional support
591906453306249216',Sat Apr 25 10:07:50 +0000 2015,jonikanerva,13137242,en,86.822297,27.952658,Felt the Kathmandu earthquake here in Dengboche. Really strong. One wall and the ceiling collapsed on our guesthouse. Nobody got injured.,https://twitter.com/jonikanerva/status/591906453306249216,Infrastructure and utilities
591907531829616640',Sat Apr 25 10:12:07 +0000 2015,ranjalrajesh,75552756,en,74.839548,12.875823,#NepalEarthquake Tribhuvan Int. Arprt #Kathmandu closed 4 operations flights diverted  but run way n safe condition http://t.co/tAQ2n3OB2Q,https://twitter.com/ranjalrajesh/status/591907531829616640,Infrastructure and utilities
591907839355957248',Sat Apr 25 10:13:20 +0000 2015,mkaswala,282516228,en,72.638678,23.025132,Gujarat tourist stranded in Nepal/their relative  can contact 4 help 2 control room of Guj. govt. Gnagar 079-23251900/902/907/908/914/918,https://twitter.com/mkaswala/status/591907839355957248,"Missing, trapped, or found people"
591907977294143488',Sat Apr 25 10:13:53 +0000 2015,FarrukhFL,2686906843,en,67.023564,24.90886,Pray for #Nepal where a powerful earthquake has struck. May the Almighty grant them ease to face this calamity with utmost strength. Aameen.,https://twitter.com/FarrukhFL/status/591907977294143488,Sympathy and emotional support
591909854224089090',Sat Apr 25 10:21:21 +0000 2015,GibbsBKK,1341550118,en,100.548608,13.798321,"#Nepalquake good news, my brother in law is safe �_�A",https://twitter.com/GibbsBKK/status/591909854224089090,Personal updates
591910057438105600',Sat Apr 25 10:22:09 +0000 2015,Kikikirah,248649550,en,114.965699,4.945219,Prayers and thoughts for Nepal. #NepalQuake,https://twitter.com/Kikikirah/status/591910057438105600,Sympathy and emotional support
591914090479554560',Sat Apr 25 10:38:11 +0000 2015,MishraJi_1986,1117076269,en,77.29185,28.624915,"Nepal left severely damaged with more than 100 dead http://t.co/QZw5rtC4Iw http://t.co/nwPjxRW7Qe""",https://twitter.com/MishraJi_1986/status/591914090479554560,Injured or dead people
591915034634166272',Sat Apr 25 10:41:56 +0000 2015,drsamirbhatta,2219969635,en,90.386864,23.745398,Help Nepal.,https://twitter.com/drsamirbhatta/status/591915034634166272,Sympathy and emotional support
591915523564294144',Sat Apr 25 10:43:52 +0000 2015,arloryn,25989414,en,-71.596705,43.274316,My heart breaks. https://t.co/0oo3IMizzb,https://twitter.com/arloryn/status/591915523564294144,Sympathy and emotional support
591916022132670465',Sat Apr 25 10:45:51 +0000 2015,Nikhil_1086,138385102,en,73.214692,22.257927,#NepalEarthquake An IL-76 a/c of IAF will leave at 1800 hr for Kathmandu from Bhatinda carrying NDRF teams - @adgpi @PMOIndia @narendramodi,https://twitter.com/Nikhil_1086/status/591916022132670465,Volunteer or professional services
591919317601615873',Sat Apr 25 10:58:57 +0000 2015,mandy_Reeves,18182229,en,-74.526515,39.448923,@TheRobbieTurner the drag community should get together and donate some proceeds to #NepalEarthquake victims #dragitupfornepal,https://twitter.com/mandy_Reeves/status/591919317601615873,Money
591920792037785602',Sat Apr 25 11:04:48 +0000 2015,AkashThawrani,710240822,en,77.623592,12.92072,Mr. Modi sending in relief teams to Nepal &amp; I'm off to Mumbai to Intern. Lord be with us all #Earthquake,https://twitter.com/AkashThawrani/status/591920792037785602,Volunteer or professional services
591960962409885696',Sat Apr 25 13:44:26 +0000 2015,_JessicaRoss_,406631895,en,-77.843445,35.394573,#PrayForNepal I cannot imagine how the who survived must feel. Truly heartbreaking.,https://twitter.com/_JessicaRoss_/status/591960962409885696,Sympathy and emotional support
591960967388364801',Sat Apr 25 13:44:27 +0000 2015,HeleneGraceM,555622335,en,121.175147,14.618145,Let's #PrayForNepal,https://twitter.com/HeleneGraceM/status/591960967388364801,Sympathy and emotional support
591961053803642880',Sat Apr 25 13:44:47 +0000 2015,vaibhavcrow,19189861,en,175.074966,-40.878528,@siobhanheanue stay safe and warm #NepalEarthquake,https://twitter.com/vaibhavcrow/status/591961053803642880,Sympathy and emotional support
591961423644790784',Sat Apr 25 13:46:16 +0000 2015,anasshaukat,571935606,en,54.487093,24.379664,May Allah look after all. Sad 2 c images of massive damage due to the #earthquake in #Nepal #India. My pryrs wd the all vctms &amp; thr famliz�۝,https://twitter.com/anasshaukat/status/591961423644790784,Sympathy and emotional support
591962531159252992',Sat Apr 25 13:50:40 +0000 2015,VivaLaErikaa,242613442,en,-77.304133,38.955986,What a tragedy�_�2 #PrayForNepal,https://twitter.com/VivaLaErikaa/status/591962531159252992,Sympathy and emotional support
591962565166542850',Sat Apr 25 13:50:48 +0000 2015,danepatel,324049005,en,70.802777,22.290293,Nepal's Brother nd sister dont worry #IndiaWithNepal,https://twitter.com/danepatel/status/591962565166542850,Sympathy and emotional support
591962774139338753',Sat Apr 25 13:51:38 +0000 2015,GizmoMorris,57398000,en,145.014071,-37.863193,Another natural disaster causing carnage. Poor bastards #NepalEarthquake #Kathmandu,https://twitter.com/GizmoMorris/status/591962774139338753,Sympathy and emotional support
591963050871300096',Sat Apr 25 13:52:44 +0000 2015,tapushikder,50444548,en,6.61017,51.655908,Deep condolence to Nepalies Friends. #NepalEarthquake,https://twitter.com/tapushikder/status/591963050871300096,Sympathy and emotional support
591963569849171969',Sat Apr 25 13:54:47 +0000 2015,arnchk,129271084,en,73.828497,18.583035,Nice initiative https://t.co/ROhGYAs3RB,https://twitter.com/arnchk/status/591963569849171969,"Missing, trapped, or found people"
591963851094130688',Sat Apr 25 13:55:54 +0000 2015,DavidAlejNYC,1740386148,en,-73.960801,40.769545,Horrifying situation in #NepalEarthquake . The randomness of the universe. So unpredictable.,https://twitter.com/DavidAlejNYC/status/591963851094130688,Sympathy and emotional support
591976370441420802',Sat Apr 25 14:45:39 +0000 2015,nungas_rule,236235324,en,-73.940174,40.848708,Crazy how my friend left Nepal the day before. So happy to have Dolly back on this side but I hope her family gets through this tragedy.,https://twitter.com/nungas_rule/status/591976370441420802,Sympathy and emotional support
591991610285494272',Sat Apr 25 15:46:13 +0000 2015,Wordslingeuse,302994581,en,-94.601735,38.976393,"@scalzi Yeah, I imbibed the horror of that story with my morning cup of joe. Appalled and saddened. #NepalEarthquake",https://twitter.com/Wordslingeuse/status/591991610285494272,Not Relevant
591992985723772928',Sat Apr 25 15:51:41 +0000 2015,CorradoBina,1285422667,en,9.357147,45.657614,From constr site #Nepal #expo2015 though for #quake victims @narendramool @comunicazionemm @secolourbano @SGatti2015 http://t.co/iPkIfP3IK7,https://twitter.com/CorradoBina/status/591992985723772928,Not Relevant
592067993544237058',Sat Apr 25 20:49:44 +0000 2015,Suhas_Dutta,2399150665,en,77.619023,13.002612,#IndiaWithNepal truly and resolutely!,https://twitter.com/Suhas_Dutta/status/592067993544237058,Sympathy and emotional support
592068593958854657',Sat Apr 25 20:52:07 +0000 2015,RonAndrElvis1,3010416494,en,-80.168428,25.889047,Pray #NepalQuake,https://twitter.com/RonAndrElvis1/status/592068593958854657,Sympathy and emotional support
592068989976748033',Sat Apr 25 20:53:41 +0000 2015,BarnesOrlando,40247624,en,36.884369,-1.282659,Pray for Nepal #NepalEarthquake,https://twitter.com/BarnesOrlando/status/592068989976748033,Sympathy and emotional support
592069177462120448',Sat Apr 25 20:54:26 +0000 2015,FrankieGroove,2315918174,en,2.108354,41.385748,R.I.P. https://t.co/jyRqACDjoC,https://twitter.com/FrankieGroove/status/592069177462120448,Sympathy and emotional support
592069581688205312',Sat Apr 25 20:56:03 +0000 2015,Watlinr87,245509565,en,1.296518,52.650003,So upsetting.  https://t.co/e3YxgHsP8f,https://twitter.com/Watlinr87/status/592069581688205312,Sympathy and emotional support
592069636306259968',Sat Apr 25 20:56:16 +0000 2015,vivekmanyal,15730910,en,72.828513,19.138449,Pls help @tajinderbagga @SarahSLassez  https://t.co/Mh2VVdwovb,https://twitter.com/vivekmanyal/status/592069636306259968,"Missing, trapped, or found people"
592069648528580608',Sat Apr 25 20:56:18 +0000 2015,RizzoGigirz58,1301064319,en,14.250469,40.898988,It's a terrible tragedy #HelpNepal  https://t.co/HaAucWCrQi,https://twitter.com/RizzoGigirz58/status/592069648528580608,Sympathy and emotional support
592069837628821505',Sat Apr 25 20:57:04 +0000 2015,Dan_salmon85,411489781,en,0.300702,51.612065,Thoughts with all #NepalQuake  https://t.co/ab9KMqGNCd,https://twitter.com/Dan_salmon85/status/592069837628821505,Sympathy and emotional support
592070284951195648',Sat Apr 25 20:58:50 +0000 2015,zaurav,287755950,en,-77.414951,38.827308,@KatzOnEarth you got it covered. Kathmandu neighborhoods will not allow for looting unless it's someone internal. Highly unlikely.,https://twitter.com/zaurav/status/592070284951195648,Not Relevant
592070618306187265',Sat Apr 25 21:00:10 +0000 2015,feathersproject,65596271,en,4.038697,6.771415,"""@WilDeji: That bad? https://t.co/gibjfAwHeK"" Yeah, that bad...",https://twitter.com/feathersproject/status/592070618306187265,Sympathy and emotional support
592071116153294850',Sat Apr 25 21:02:08 +0000 2015,Shenanigen5280,93594524,en,-0.172278,50.825533,Forgive my poor geography but hope everyone's ok at the @RunShangriLa marathon going on. Hopefully you weren't close #NepalEarthquake,https://twitter.com/Shenanigen5280/status/592071116153294850,Sympathy and emotional support
592073412316639232',Sat Apr 25 21:11:16 +0000 2015,Quabena_Edwin,192712113,en,-0.96084,5.933505,"Hmmm, 1200 souls  https://t.co/6pNVuzk1gN",https://twitter.com/Quabena_Edwin/status/592073412316639232,Sympathy and emotional support
592073444872687616',Sat Apr 25 21:11:24 +0000 2015,Mattandemma1,137746570,en,-94.798187,39.041418,Woah! https://t.co/qRX2wdVi0V,https://twitter.com/Mattandemma1/status/592073444872687616,Sympathy and emotional support
592073571771359233',Sat Apr 25 21:11:54 +0000 2015,BryanRayCyrus,2757649049,en,-69.888948,18.477775,Pray for Nepal,https://twitter.com/BryanRayCyrus/status/592073571771359233,Sympathy and emotional support
592073720690298881',Sat Apr 25 21:12:29 +0000 2015,wakeup_is_here,2835747097,en,77.039066,28.62292,Beauty of Indian Army is their dedication towards duty.  #NepalEarthquake,https://twitter.com/wakeup_is_here/status/592073720690298881,Sympathy and emotional support
592073968976289792',Sat Apr 25 21:13:29 +0000 2015,ollshowarth,108086308,en,-2.846682,53.59387,There's no words.  https://t.co/dUHV5HFwzX,https://twitter.com/ollshowarth/status/592073968976289792,Sympathy and emotional support
592075169599979521',Sat Apr 25 21:18:15 +0000 2015,SWSG_Tweets,28893108,en,-71.542574,42.31749,"Thoughts are with girls, women--and all humans--affected by #NepalEarthquake #resilience",https://twitter.com/SWSG_Tweets/status/592075169599979521,Sympathy and emotional support
592076727410528256',Sat Apr 25 21:24:26 +0000 2015,saadgrasim,213861231,en,77.590722,12.929371,Pray for Nepal�__F #Allah bless them all �_�7,https://twitter.com/saadgrasim/status/592076727410528256,Sympathy and emotional support
592077029849341952',Sat Apr 25 21:25:38 +0000 2015,SuperNario_,22280067,en,-71.102874,42.349209,Thinking of Nepal https://t.co/KUD01yG66N,https://twitter.com/SuperNario_/status/592077029849341952,Sympathy and emotional support
592085588578172928',Sat Apr 25 21:59:39 +0000 2015,tammieoh99,121294827,en,-118.317666,34.102971,Pray for #Nepal,https://twitter.com/tammieoh99/status/592085588578172928,Sympathy and emotional support
592085973850161152',Sat Apr 25 22:01:11 +0000 2015,WPlanet360,3162778820,en,-122.640965,38.235247,http://t.co/Y7hQefm11a proudly supports Seva  Foundation  https://t.co/UsGOUvRncS,https://twitter.com/WPlanet360/status/592085973850161152,Volunteer or professional services
592086411630800897',Sat Apr 25 22:02:55 +0000 2015,MarisaRRoss,359569997,en,-82.363759,29.623539,This is incredibly sad. RIP https://t.co/HuvLDqgx8l,https://twitter.com/MarisaRRoss/status/592086411630800897,Sympathy and emotional support
592086887638167552',Sat Apr 25 22:04:49 +0000 2015,psa2,24155296,en,-83.879979,42.339332,Devastating.  https://t.co/jdNGImmnp6,https://twitter.com/psa2/status/592086887638167552,Money
592087566846832640',Sat Apr 25 22:07:31 +0000 2015,danlameymiami,43156852,en,-80.37202,25.647679,Remembering beautiful Khatmandu &amp; it's lovely people Warning: Most gut wrenching photo I've seen. #PrayerForNepal  https://t.co/xW2zCFgrrl,https://twitter.com/danlameymiami/status/592087566846832640,Sympathy and emotional support
592099845910953984',Sat Apr 25 22:56:18 +0000 2015,Windy_London,27151453,en,-0.185652,51.437923,Let's #pray for #NepalEarthquake relief efforts http://t.co/JdBGHqKGIZ http://t.co/HOrYyDbo0k,https://twitter.com/Windy_London/status/592099845910953984,Not Relevant
592101713252904960',Sat Apr 25 23:03:43 +0000 2015,Miss_Merse,33328903,en,-79.328178,43.66366,#Help #Toronto friend missing #NepalEarthquake Eric Hogg Pls RT @StarGTANews @CBCAlerts http://t.co/kOojPcyYDO,https://twitter.com/Miss_Merse/status/592101713252904960,Urgent Needs
592126462955622400',Sun Apr 26 00:42:04 +0000 2015,shutupimdhanver,2794202129,en,121.156284,14.067638,prayer for #Nepal �__F,https://twitter.com/shutupimdhanver/status/592126462955622400,Not Relevant
592128835879084032',Sun Apr 26 00:51:30 +0000 2015,carlsy77,72327768,en,-2.206109,53.475497,I've just texted for @savechildrenuk #NepalEarthquake appeal. Devastating tragedy. text DONATE5 to 70008 to give �5. RT #NepalEarthquake,https://twitter.com/carlsy77/status/592128835879084032,Response Efforts
592135287200854016',Sun Apr 26 01:17:08 +0000 2015,RouletteLeader,2181350078,en,144.991028,-37.849375,I have been wondering the same thing! @dfat @9NewsAUS  https://t.co/oZAzDhuTa7,https://twitter.com/RouletteLeader/status/592135287200854016,Not Relevant
592149404036956160',Sun Apr 26 02:13:14 +0000 2015,rahulraaz039,3187818681,en,85.068959,25.595901,Plz guy....pray for Nepal.....it was a horrible..... for there citizens.....,https://twitter.com/rahulraaz039/status/592149404036956160,Not Relevant
592155955179036673',Sun Apr 26 02:39:16 +0000 2015,prafullit,131401305,en,77.219572,28.546166,"@janhavirk   @airnewsalerts: Indian Air Force planes have brought back 544 Indians from Nepal, so far.   #NepalEarthquake""",https://twitter.com/prafullit/status/592155955179036673,Response Efforts
592156340711129089',Sun Apr 26 02:40:48 +0000 2015,Jayshahca,364380709,en,72.826978,19.113174,3 Lakh #tourists still stranded in #Nepal #earthquake  Click: http://t.co/kNnF48H2MT�۝,https://twitter.com/Jayshahca/status/592156340711129089,Not Relevant
592159488146165760',Sun Apr 26 02:53:18 +0000 2015,SKS_Mumbai,120041142,en,72.847726,19.173767,No Bibles?  https://t.co/FerViVgTbj,https://twitter.com/SKS_Mumbai/status/592159488146165760,Not Relevant
592161242464194560',Sun Apr 26 03:00:16 +0000 2015,trendinaliaKE,1409839502,en,37.9039,-0.0244,1. #TalkingNerea 2. #NepalEarthquake 3. #FashionWatch 4. Bruce Jenner 5. #TheSomaliaYouNeverHearAbout  2015/4/26 05:56 EAT,https://twitter.com/trendinaliaKE/status/592161242464194560,Not Relevant
592161258322800640',Sun Apr 26 03:00:20 +0000 2015,trendinaliaEC,1182074978,en,-78.0958,-1.7899,6. Mushuc Runa 7. Nepal 8. Premier League 9. Joker 10. Jared Leto  2015/4/25 21:56 ECT #trndnl http://t.co/ImTx1Tdu04,https://twitter.com/trendinaliaEC/status/592161258322800640,Not Relevant
592162407541121024',Sun Apr 26 03:04:54 +0000 2015,dhigsfarrales,93155053,en,120.99665,14.619007,"God, bless nepal.�_�1 #PrayerForNepal",https://twitter.com/dhigsfarrales/status/592162407541121024,Not Relevant
592162418790367232',Sun Apr 26 03:04:57 +0000 2015,DeAngelisRose,520888765,en,-73.812112,45.515122,@HimalayanGems andrew stone- you are OK? Hope your friends in Nepal are safe too. �_�E sending prayers,https://twitter.com/DeAngelisRose/status/592162418790367232,Not Relevant
592162818247364609',Sun Apr 26 03:06:32 +0000 2015,h_mahendru,1031733936,en,77.337514,28.364839,Salute to Indian army https://t.co/wWWyLPF98q,https://twitter.com/h_mahendru/status/592162818247364609,Response Efforts
592163860280250368',Sun Apr 26 03:10:40 +0000 2015,Tigressxxo,364062175,en,-79.258533,43.735687,Just heartbreaking  https://t.co/t0McwK1SRn,https://twitter.com/Tigressxxo/status/592163860280250368,Not Relevant
592164550499151874',Sun Apr 26 03:13:25 +0000 2015,shohanhd,2954758050,en,90.664163,23.552328,"#Bangladesh Under14 girls' #football team, stranded in #NepalEarthquake waiting to return home http://t.co/VspTh10MnP http://t.co/817d0uatt8",https://twitter.com/shohanhd/status/592164550499151874,Infrastructure Damage
592164829143564288',Sun Apr 26 03:14:31 +0000 2015,octotus,278551481,en,80.170739,13.068174,Needs confirmation. https://t.co/LcQ0ia4Xuy,https://twitter.com/octotus/status/592164829143564288,Not Relevant
592165907637534721',Sun Apr 26 03:18:48 +0000 2015,kailashwg,1602756109,en,72.823874,18.965483,"@Ajit_Doval pls remember like Nepal which falls under Vrischik Rashi influence by Lord Shani &amp;it's sadesati, our PM also belong to Vrishchik",https://twitter.com/kailashwg/status/592165907637534721,Not Relevant
592166271300423680',Sun Apr 26 03:20:15 +0000 2015,trendinaliaKE,1409839502,en,37.9039,-0.0244,1. #TalkingNerea 2. #NepalEarthquake 3. #FashionWatch 4. Bruce Jenner 5. #TheSomaliaYouNeverHearAbout  2015/4/26 06:16 EAT,https://twitter.com/trendinaliaKE/status/592166271300423680,Not Relevant
592178215805849600',Sun Apr 26 04:07:43 +0000 2015,mishvipin,2223515443,en,-96.684853,32.999481,@narendramodi  thanks Modi Ji for your leadership in this Nepal's critical moment,https://twitter.com/mishvipin/status/592178215805849600,Not Relevant
592178716479922176',Sun Apr 26 04:09:42 +0000 2015,marianandgus,3025720253,en,-71.020455,42.250006,Prayers for Nepal #NepalEarthquake,https://twitter.com/marianandgus/status/592178716479922176,Not Relevant
592179625406509056',Sun Apr 26 04:13:19 +0000 2015,peter_meylink,2157722310,en,-88.542229,42.66976,Prayers for everyone in Nepal,https://twitter.com/peter_meylink/status/592179625406509056,Not Relevant
592192320470061058',Sun Apr 26 05:03:46 +0000 2015,tarsem_insan,2515226820,en,75.726062,29.779775,Dera chief saint @Gurmeetramrahim will go for #MSGHelpEarthquakeVictims  #NepalQuakeRelief with 70 thousand  #GreenSwelfareForceWingSewadar,https://twitter.com/tarsem_insan/status/592192320470061058,Response Efforts
592198258753077248',Sun Apr 26 05:27:22 +0000 2015,AEBaezR,311045116,en,-99.147184,19.425868,Genial �_�D https://t.co/Beb7wyGZIZ,https://twitter.com/AEBaezR/status/592198258753077248,Not Relevant
592200769127976960',Sun Apr 26 05:37:20 +0000 2015,ChefArtSmith,41995398,en,-84.282062,30.440464,http://t.co/SA0tmT2EZK I ��� you Nepal. @USEmbassyNepal,https://twitter.com/ChefArtSmith/status/592200769127976960,Not Relevant
592201239552659458',Sun Apr 26 05:39:12 +0000 2015,SubasPokharel,52143488,en,85.314055,27.686389,"Weather has improved,  now sunnybtgat should help rescue efforts. #NepalQuake",https://twitter.com/SubasPokharel/status/592201239552659458,Response Efforts
592276505620688896',Sun Apr 26 10:38:17 +0000 2015,amitabhtax,363015854,en,78.522088,29.748204,RSS the Only Patriot Institution of #Bharat https://t.co/tH5bu56rNZ,https://twitter.com/amitabhtax/status/592276505620688896,Not Relevant
592285384798699520',Sun Apr 26 11:13:34 +0000 2015,mekanikalboy,1016658888,en,121.007185,15.350743,Can't imagine what just happened to Nepal especially to their people.,https://twitter.com/mekanikalboy/status/592285384798699520,Not Relevant
592292776940851200',Sun Apr 26 11:42:56 +0000 2015,Broookekennedy,634352086,en,-83.290346,42.675908,Much love &amp; prayers going out to Nepal,https://twitter.com/Broookekennedy/status/592292776940851200,Not Relevant
592333232827473920',Sun Apr 26 14:23:42 +0000 2015,AlexisGuilbertt,459808010,en,-71.585071,42.345776,I wanna drop everything and go to Nepal to help,https://twitter.com/AlexisGuilbertt/status/592333232827473920,Not Relevant
592350980626190336',Sun Apr 26 15:34:13 +0000 2015,HamsSul,2481922649,en,44.37737,33.205142,One million views within 3 weeks .. the Palestinian message https://t.co/dl68noKCfP #LaithAbuJoda ���_�� ������ ��������  #NepalEarthquake,https://twitter.com/HamsSul/status/592350980626190336,Not Relevant
592375707474374657',Sun Apr 26 17:12:29 +0000 2015,nasimsahmad,303625304,en,77.712387,28.978165,Ohh my God!  https://t.co/6wz6QBWQA4,https://twitter.com/nasimsahmad/status/592375707474374657,Not Relevant
592589322303320064',Mon Apr 27 07:21:18 +0000 2015,singhkaranbrar,318945905,en,75.660502,31.639425,Big thnx to ArmedForces Withot their help can't be possible always feel Proud when I see man in uniform&amp; #ThankYouPM https://t.co/YioCuepOU0,https://twitter.com/singhkaranbrar/status/592589322303320064,Not Relevant
592589490641743872',Mon Apr 27 07:21:59 +0000 2015,SyahirahSyahira,465192725,en,100.531224,6.438655,@AnizaZulkifle he's fine tho. im glad that u cancel that flight w him last time. i cant bear if both of u pergi nepal that day�_�B,https://twitter.com/SyahirahSyahira/status/592589490641743872,Not Relevant
592589909841547264',Mon Apr 27 07:23:38 +0000 2015,kennysia,1968511,en,110.361758,1.553479,"Nepal, on less rocky days. @ Kathmandu, Nepal https://t.co/bFx9wmOKok",https://twitter.com/kennysia/status/592589909841547264,Not Relevant
592589910743257088',Mon Apr 27 07:23:39 +0000 2015,itschavezmark,1698002353,en,121.562161,13.983289,Pray for Nepal �__F�_�D,https://twitter.com/itschavezmark/status/592589910743257088,Not Relevant
